Semaine;Nice (FR);Paris (FR);London (GB);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;39,00;877,50;897,00;429,00;238,33;13,00;186,33;277,33;281,67;294,67;108,33;177,67;169,93;122,57;114,21;16,71;86,48;118,70;13,57;55,96;18,78;102,56;53,44;70,78;16,90;41,60;29,90;54,60;9,00;9,00;4,00;4,00;15,00;1,00;3,00
2019-01-13;44,00;572,00;601,33;293,33;212,00;20,00;176,00;252,00;180,00;272,00;100,00;152,00;146,67;108,53;114,40;11,73;79,54;143,85;13,54;67,69;19,87;109,29;65,29;73,81;22,63;33,94;30,17;60,34;8,00;11,00;4,00;3,00;15,00;1,00;4,00
2019-01-20;44,00;528,00;601,33;278,67;224,00;24,00;172,00;232,00;192,00;224,00;104,00;164,00;152,53;93,87;85,07;11,73;82,72;144,32;21,12;38,72;19,87;79,48;68,13;48,26;11,65;31,06;33,65;33,65;5,00;9,00;15,00;3,00;9,00;1,00;1,00
2019-01-27;17,00;629,00;680,00;340,00;208,25;8,50;170,00;272,00;165,75;306,00;144,50;204,00;124,67;87,83;110,50;14,17;51,00;119,00;20,40;74,80;14,17;106,25;49,58;69,42;19,62;35,31;6,54;20,92;9,00;9,00;6,00;6,00;8,00;1,00;1,00
2019-02-03;21,00;840,00;882,00;399,00;218,40;8,40;168,00;226,80;172,20;294,00;121,80;210,00;159,00;81,00;102,00;18,00;59,50;112,00;14,00;50,75;18,20;72,80;63,00;71,40;9,88;40,76;3,71;44,47;5,00;15,00;4,00;4,00;9,00;3,00;4,00
2019-02-10;24,00;456,00;468,00;180,00;204,00;20,00;184,00;256,00;148,00;284,00;144,00;184,00;174,00;111,00;108,00;21,00;44,57;125,14;18,86;63,43;19,76;88,94;43,76;52,24;13,89;21,47;2,53;46,74;5,00;5,00;6,00;11,00;8,00;0,00;0,00
2019-02-17;27,00;486,00;553,50;283,50;212,14;11,57;169,71;266,14;158,14;243,00;123,43;185,14;162,00;108,00;105,00;18,00;57,38;114,75;50,63;55,69;22,74;90,95;48,32;48,32;18,00;30,86;2,57;51,43;14,00;8,00;5,00;3,00;17,00;3,00;1,00
2019-02-24;36,00;774,00;774,00;342,00;212,00;16,00;232,00;236,00;156,00;228,00;116,00;180,00;124,62;124,62;94,15;5,54;56,57;135,43;10,29;51,43;29,08;74,77;62,31;47,08;24,43;23,14;7,71;42,43;12,00;7,00;4,00;4,00;3,00;1,00;1,00
2019-03-03;29,00;594,50;623,50;290,00;190,57;12,43;306,57;240,29;153,29;236,14;149,14;207,14;124,70;116,00;72,50;8,70;56,29;129,65;13,65;51,18;15,19;77,33;62,14;52,48;16,39;40,35;6,30;30,26;13,00;4,00;13,00;3,00;9,00;0,00;4,00
2019-03-10;31,00;635,50;635,50;341,00;224,75;19,38;178,25;263,50;143,38;217,00;127,88;182,13;126,82;95,82;84,55;19,73;56,83;144,67;37,89;82,67;32,41;83,14;77,50;46,50;11,16;52,08;8,68;45,88;15,00;12,00;5,00;6,00;8,00;1,00;0,00
2019-03-17;22,00;770,00;792,00;352,00;202,40;13,20;158,40;255,20;162,80;233,20;149,60;176,00;115,50;96,25;66,00;5,50;50,77;104,92;6,77;64,31;17,88;85,25;45,38;56,38;19,41;29,76;3,88;37,53;9,00;9,00;4,00;4,00;12,00;8,00;0,00
2019-03-24;28,00;560,00;518,00;266,00;184,00;8,00;168,00;244,00;140,00;264,00;144,00;176,00;126,00;114,80;86,80;16,80;50,75;157,50;8,75;68,25;29,40;77,00;60,20;44,80;19,09;28,00;2,55;57,27;10,00;4,00;1,00;3,00;17,00;3,00;0,00
2019-03-31;47,00;626,67;548,33;297,67;203,67;15,67;168,42;258,50;188,00;254,58;121,42;188,00;132,71;121,65;94,00;13,82;77,21;119,18;20,14;65,46;16,59;73,26;41,47;55,29;19,05;19,05;13,97;49,54;5,00;8,00;12,00;7,00;8,00;5,00;4,00
2019-04-07;65,00;698,75;666,25;357,50;251,88;20,31;182,81;219,38;203,13;292,50;162,50;182,81;146,96;135,65;93,26;8,48;90,66;141,97;22,24;63,29;36,74;80,54;57,93;57,93;15,29;25,49;19,12;50,98;6,00;5,00;8,00;10,00;12,00;3,00;3,00
2019-04-14;47,00;1566,67;720,67;344,67;242,83;31,33;199,75;195,83;219,33;242,83;125,33;148,83;116,12;129,94;71,88;24,88;73,86;130,93;18,46;65,46;20,74;87,09;44,24;38,71;16,51;17,78;35,57;48,27;8,00;11,00;7,00;7,00;12,00;5,00;0,00
2019-04-21;53,00;848,00;689,00;371,00;224,23;12,23;203,85;269,08;207,92;297,62;114,15;175,31;141,33;153,11;82,44;11,78;58,13;104,29;22,23;87,19;27,22;67,32;67,32;70,19;18,10;29,73;38,78;69,80;5,00;11,00;7,00;7,00;8,00;11,00;5,00
2019-04-28;61,00;808,25;762,50;366,00;252,13;20,33;349,73;252,13;223,67;313,13;113,87;154,53;151,05;133,62;92,95;26,14;74,56;137,25;22,03;66,08;15,60;85,12;78,02;55,33;19,06;31,77;30,50;68,63;13,00;6,00;14,00;8,00;12,00;3,00;3,00
2019-05-05;58,00;522,00;594,50;319,00;219,57;12,43;414,29;256,86;182,29;294,14;99,43;157,43;130,50;116,00;98,60;14,50;105,76;129,65;22,18;83,59;16,98;65,07;52,34;45,27;23,96;29,00;49,17;44,13;19,00;9,00;4,00;4,00;11,00;5,00;0,00
2019-05-12;59,00;575,25;486,75;368,75;247,80;15,73;153,40;236,00;177,00;265,50;118,00;160,14;134,86;106,76;89,90;25,29;67,43;102,83;20,23;62,37;33,71;71,64;67,43;49,17;17,57;20,09;21,34;43,94;10,00;5,00;3,00;6,00;10,00;4,00;3,00
2019-05-19;57,00;598,50;484,50;313,50;211,71;12,21;162,86;211,71;187,29;248,36;114,00;154,71;131,10;99,75;111,15;14,25;81,18;114,00;39,73;63,91;19,95;89,78;61,28;51,30;30,40;29,13;21,53;63,33;9,00;15,00;6,00;6,00;40,00;6,00;0,00
2019-05-26;44,00;645,33;528,00;337,33;252,00;28,00;196,00;216,00;204,00;264,00;120,00;172,00;156,75;101,75;90,75;27,50;88,00;116,77;22,00;49,08;22,00;81,13;53,63;53,63;27,66;21,37;35,20;49,03;10,00;16,00;8,00;8,00;49,00;6,00;3,00
2019-06-02;54,00;828,00;684,00;378,00;220,15;20,77;145,38;236,77;216,00;257,54;137,08;132,92;136,42;284,21;113,68;14,21;74,25;111,38;18,56;84,38;20,77;84,46;40,15;56,77;33,91;27,63;28,88;48,98;13,00;7,00;7,00;5,00;17,00;4,00;2,00
2019-06-09;60,00;585,00;555,00;300,00;224,00;20,00;136,00;216,00;172,00;252,00;80,00;148,00;114,29;140,00;74,29;20,00;58,29;114,86;22,29;58,29;25,12;86,51;53,02;64,19;28,75;20,00;45,00;53,75;13,00;18,00;10,00;7,00;6,00;1,00;2,00
2019-06-16;57,00;570,00;498,75;285,00;195,43;20,36;166,93;199,50;203,57;272,79;114,00;158,79;122,55;114,00;94,05;17,10;96,73;136,45;20,73;69,09;38,93;97,32;52,83;45,88;27,87;35,47;40,53;54,47;14,00;10,00;10,00;4,00;11,00;6,00;0,00
2019-06-23;56,00;546,00;476,00;252,00;164,00;16,00;148,00;176,00;208,00;240,00;108,00;180,00;128,80;106,40;70,00;14,00;79,76;105,21;40,73;57,70;19,60;82,60;49,00;49,00;20,36;24,18;38,18;50,91;24,00;14,00;6,00;6,00;10,00;10,00;3,00
2019-06-30;73,00;627,80;613,20;292,00;186,56;28,39;146,00;182,50;231,17;292,00;113,56;162,22;129,15;109,50;137,58;30,88;78,09;127,33;108,65;79,79;22,46;91,25;67,38;73,00;26,89;29,46;43,54;70,44;14,00;14,00;16,00;14,00;18,00;9,00;5,00
2019-07-07;64,00;800,00;704,00;448,00;240,00;24,00;164,00;248,00;244,00;340,00;144,00;180,00;147,48;139,13;114,09;27,83;85,89;111,16;37,05;82,53;38,96;109,91;79,30;75,13;33,88;35,14;40,16;67,76;20,00;18,00;7,00;8,00;19,00;13,00;3,00
2019-07-14;84,00;907,20;756,00;403,20;240,00;24,00;140,00;220,00;244,00;344,00;132,00;188,00;184,80;165,20;123,20;30,80;94,29;116,57;27,43;108,00;32,20;109,20;64,40;79,80;35,64;30,55;38,18;81,45;19,00;24,00;11,00;7,00;15,00;12,00;5,00
2019-07-21;62,00;821,50;666,50;387,50;260,40;41,33;161,20;231,47;256,27;355,47;173,60;194,27;194,45;171,91;118,36;19,73;82,67;136,06;39,61;139,50;52,14;140,91;84,55;66,23;53,14;41,76;39,22;93,63;19,00;18,00;14,00;6,00;18,00;9,00;1,00
2019-07-28;68,00;1105,00;748,00;493,00;228,00;16,00;176,00;248,00;267,75;352,75;153,00;187,00;240,83;167,17;124,67;36,83;86,70;110,50;35,70;139,40;22,67;140,25;77,92;94,92;38,49;42,34;52,60;71,85;25,00;24,00;7,00;16,00;29,00;13,00;3,00
2019-08-04;72,00;806,40;691,20;417,60;212,00;28,00;152,00;232,00;292,00;400,00;140,00;156,00;273,60;184,32;135,36;37,44;120,00;149,14;29,14;68,57;33,88;115,76;88,94;76,24;42,95;27,79;44,21;85,89;16,00;28,00;10,00;7,00;26,00;10,00;9,00
2019-08-11;59,00;722,75;693,25;383,50;208,47;23,60;149,47;208,47;273,93;324,50;126,43;181,21;199,48;126,43;103,95;33,71;74,17;119,69;25,29;72,49;26,69;105,36;44,95;75,86;26,36;36,40;32,64;70,30;12,00;15,00;10,00;5,00;13,00;4,00;7,00
2019-08-18;69,00;724,50;810,75;396,75;211,06;20,29;170,47;243,53;219,18;304,41;125,82;154,24;152,38;100,63;103,50;28,75;96,60;112,13;20,70;72,45;33,80;70,41;66,18;56,33;19,17;23,00;46,00;56,22;12,00;17,00;5,00;5,00;19,00;3,00;0,00
2019-08-25;64,00;576,00;672,00;384,00;184,00;36,00;152,00;212,00;192,00;300,00;112,00;156,00;119,65;80,70;89,04;19,48;79,16;138,11;20,21;74,11;26,43;80,70;51,48;48,70;18,82;23,84;38,90;67,76;12,00;16,00;5,00;3,00;11,00;3,00;3,00
2019-09-01;58,00;551,00;667,00;333,50;223,71;16,57;182,29;256,86;194,71;310,71;128,43;165,71;118,90;147,90;107,30;17,40;93,82;148,41;27,29;69,94;26,88;69,32;74,98;66,49;18,91;35,30;34,04;51,70;9,00;11,00;6,00;2,00;21,00;7,00;0,00
2019-09-08;62,00;682,00;682,00;341,00;206,67;16,53;181,87;219,07;194,27;301,73;119,87;186,00;138,09;104,27;101,45;19,73;96,44;160,17;17,22;60,28;22,55;63,41;67,64;53,55;19,38;36,17;25,83;78,79;16,00;6,00;10,00;9,00;11,00;4,00;0,00
2019-09-15;53,00;777,33;795,00;335,67;212,00;16,31;207,92;228,31;228,31;301,69;85,62;195,69;147,84;106,00;94,84;22,32;92,32;157,29;29,06;61,55;13,95;90,66;54,39;48,82;10,10;30,29;34,07;68,14;6,00;8,00;7,00;3,00;11,00;2,00;2,00
2019-09-22;42,00;574,00;714,00;280,00;235,20;25,20;193,20;260,40;243,60;352,80;113,40;189,00;148,40;109,20;100,80;8,40;97,44;146,16;13,44;73,92;19,60;86,80;58,80;49,00;14,00;20,36;26,73;47,09;5,00;5,00;2,00;4,00;12,00;1,00;4,00
2019-09-29;42,00;630,00;686,00;294,00;235,20;16,80;222,60;231,00;210,00;323,40;113,40;163,80;123,20;95,20;92,40;22,40;84,00;154,56;30,24;55,44;19,60;96,60;39,20;56,00;12,73;33,09;28,00;45,82;18,00;11,00;7,00;1,00;9,00;2,00;4,00
