Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;72,00;5,43;6,79;2,72;55,70;6,00;6,00;12,00;1,00;15,00;5,00;78,00;50,00;13,00;6,00;12,00;7,00;16,00;0,00;10,00;6,00;2,00;4,00;8,00;0,00;4,00;7,00;12,00;8,00;1,00;2,00;0,00;1,00;2,00;4,00;1,00;0,00;0,00;0,00;0,00
2019-01-13;78,00;5,47;5,47;2,74;67,05;10,00;2,00;6,00;5,00;25,00;0,00;46,00;1,00;14,00;10,00;7,00;13,00;26,00;0,00;11,00;2,00;0,00;1,00;10,00;0,00;2,00;0,00;20,00;7,00;0,00;5,00;6,00;7,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;67,00;4,10;9,57;4,10;32,82;4,00;5,00;5,00;0,00;17,00;2,00;25,00;0,00;11,00;7,00;17,00;6,00;19,00;0,00;14,00;0,00;1,00;0,00;13,00;0,00;2,00;4,00;11,00;23,00;0,00;4,00;0,00;6,00;1,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;69,00;5,41;4,06;4,06;41,94;7,00;7,00;2,00;5,00;22,00;5,00;33,00;0,00;21,00;7,00;12,00;4,00;16,00;1,00;4,00;1,00;1,00;1,00;12,00;0,00;5,00;5,00;14,00;9,00;0,00;7,00;11,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;75,00;2,73;2,73;1,36;32,73;2,00;2,00;5,00;2,00;18,00;1,00;27,00;2,00;9,00;9,00;22,00;11,00;15,00;0,00;6,00;7,00;4,00;5,00;9,00;0,00;6,00;2,00;17,00;6,00;0,00;2,00;1,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;81,00;6,86;8,24;1,37;54,92;6,00;1,00;10,00;2,00;5,00;4,00;22,00;4,00;9,00;6,00;11,00;10,00;18,00;1,00;8,00;0,00;1,00;4,00;5,00;0,00;2,00;1,00;17,00;5,00;0,00;0,00;1,00;1,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;69,00;8,28;2,76;0,00;27,60;1,00;10,00;1,00;4,00;10,00;0,00;19,00;3,00;13,00;5,00;6,00;14,00;12,00;1,00;5,00;3,00;4,00;1,00;8,00;0,00;4,00;4,00;10,00;4,00;0,00;3,00;1,00;3,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;63,00;4,02;5,36;2,68;26,81;10,00;0,00;8,00;5,00;18,00;0,00;22,00;1,00;8,00;6,00;5,00;6,00;9,00;0,00;4,00;0,00;1,00;4,00;7,00;0,00;5,00;0,00;9,00;6,00;0,00;2,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;53,00;4,08;6,79;2,72;43,49;8,00;4,00;5,00;2,00;15,00;3,00;20,00;5,00;7,00;12,00;11,00;2,00;5,00;0,00;4,00;5,00;2,00;2,00;6,00;1,00;0,00;4,00;10,00;5,00;0,00;6,00;0,00;3,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;77,00;5,40;10,81;0,00;22,96;7,00;2,00;6,00;0,00;6,00;1,00;33,00;0,00;5,00;4,00;10,00;6,00;6,00;0,00;8,00;2,00;1,00;1,00;5,00;0,00;2,00;2,00;5,00;2,00;0,00;1,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
