Semaine;Nice (FR);Paris (FR);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;55,00;467,50;434,50;396,00;265,83;9,17;137,50;110,00;220,00;141,43;83,81;125,71;238,33;261,25;73,33;9,17;91,67;562,22;18,33;48,89;14,00;52,00;39,00;46,00;22,83;73,68;8,30;30,09;19,00;5,00;10,00;5,00;13,00;2,00;3,00
2019-01-13;56,00;397,09;366,55;361,45;252,00;9,33;140,00;102,67;201,09;137,45;78,91;109,45;206,77;215,38;56,00;8,62;84,00;476,00;16,80;33,60;20,00;34,00;37,00;40,00;20,74;71,56;10,37;29,04;16,00;9,00;7,00;5,00;12,00;2,00;1,00
2019-01-20;54,00;394,20;394,20;372,60;234,00;9,00;144,00;99,00;190,29;131,14;82,29;100,29;202,50;220,50;54,00;9,00;84,00;492,00;18,00;42,00;12,00;40,00;38,00;39,00;22,85;69,58;10,38;19,73;17,00;6,00;16,00;3,00;14,00;1,00;1,00
2019-01-27;49,00;375,67;348,44;353,89;215,60;9,80;147,00;107,80;177,95;121,21;85,11;113,47;187,09;196,00;49,00;8,91;98,00;526,75;18,38;42,88;16,00;41,00;33,00;39,00;21,89;77,15;8,34;22,94;14,00;6,00;9,00;5,00;11,00;2,00;0,00
2019-02-03;49,00;392,00;321,22;386,56;264,60;9,80;166,60;98,00;203,74;123,79;79,95;128,95;209,36;222,73;57,91;8,91;91,88;502,25;18,38;42,88;13,00;37,00;45,00;44,00;22,94;68,81;11,47;23,98;15,00;8,00;11,00;5,00;11,00;2,00;1,00
2019-02-10;51,00;377,40;311,10;362,10;244,80;10,20;163,20;112,20;188,70;132,60;81,60;119,85;199,36;222,55;64,91;4,64;79,33;453,33;17,00;34,00;16,00;39,00;36,00;41,00;21,86;56,20;6,24;24,98;16,00;7,00;9,00;4,00;12,00;3,00;1,00
2019-02-17;54,00;388,80;334,80;372,60;248,40;10,80;183,60;108,00;190,29;118,29;92,57;136,29;211,50;211,50;63,00;9,00;90,00;510,00;18,00;42,00;15,00;37,00;38,00;42,00;23,29;67,76;9,53;27,53;19,00;5,00;8,00;6,00;14,00;1,00;1,00
2019-02-24;50,00;377,78;316,67;405,56;240,00;10,00;180,00;110,00;165,00;120,00;82,50;132,50;200,00;209,09;54,55;4,55;77,78;411,11;16,67;33,33;16,00;34,00;37,00;36,00;21,88;53,13;8,33;21,88;14,00;7,00;9,00;5,00;10,00;2,00;3,00
2019-03-03;58,00;374,36;284,73;379,64;232,00;9,67;164,33;106,33;174,00;121,04;83,22;136,17;209,69;205,23;53,54;8,92;81,20;464,00;11,60;40,60;22,00;42,00;36,00;36,00;23,82;67,32;9,32;25,89;17,00;8,00;11,00;5,00;11,00;1,00;2,00
2019-03-10;63,00;378,00;299,25;404,25;262,50;10,50;178,50;115,50;171,36;115,92;85,68;126,00;189,00;220,50;58,50;13,50;85,91;441,00;11,45;40,09;17,00;41,00;33,00;43,00;24,15;61,95;6,30;25,20;15,00;5,00;9,00;3,00;12,00;2,00;2,00
2019-03-17;60,00;387,27;283,64;414,55;260,00;10,00;160,00;110,00;172,17;114,78;96,52;140,87;193,85;221,54;55,38;9,23;90,00;444,00;18,00;36,00;18,00;37,00;32,00;39,00;23,79;55,86;5,17;22,76;12,00;7,00;6,00;3,00;8,00;2,00;1,00
2019-03-24;57,00;321,27;248,73;373,09;228,00;9,50;152,00;104,50;171,00;101,05;95,86;126,95;184,15;214,85;43,85;8,77;85,50;416,10;17,10;39,90;17,00;36,00;41,00;36,00;24,87;50,78;10,36;22,80;16,00;6,00;6,00;5,00;15,00;1,00;1,00
2019-03-31;70,00;333,85;280,00;414,62;240,00;10,00;170,00;120,00;173,70;114,07;98,52;150,37;192,50;210,00;52,50;8,75;99,17;425,83;17,50;40,83;16,00;37,00;41,00;50,00;29,25;53,28;11,49;27,16;13,00;9,00;10,00;5,00;15,00;0,50;1,00
2019-04-07;81,00;415,80;302,40;459,00;273,38;10,13;172,13;111,38;197,44;126,56;101,25;144,28;207,00;252,00;67,50;9,00;98,36;433,93;17,36;46,29;23,00;38,00;33,00;46,00;21,81;50,88;10,38;23,88;16,00;11,00;13,00;3,00;13,00;2,00;1,00
2019-04-14;67,00;402,00;237,08;494,77;220,14;9,57;181,86;124,43;167,50;115,96;90,19;131,42;192,07;209,93;49,13;8,93;109,64;438,55;18,27;48,73;17,00;37,00;29,00;33,00;24,08;36,64;10,47;26,17;17,00;8,00;10,00;3,00;16,00;2,00;2,00
2019-04-21;69,00;329,08;238,85;435,23;207,00;9,86;167,57;108,43;145,67;109,89;76,67;140,56;185,44;211,31;51,75;8,63;86,25;425,50;17,25;40,25;20,00;32,00;34,00;43,00;23,00;43,91;9,41;28,23;16,00;9,00;7,00;6,00;14,00;1,00;1,00
2019-04-28;65,00;325,00;254,58;444,17;204,29;9,29;176,43;111,43;158,60;111,80;85,80;130,00;173,33;221,00;52,00;8,67;100,45;407,73;17,73;47,27;22,00;39,00;50,00;50,00;22,70;36,11;12,38;23,73;15,00;6,00;7,00;6,00;11,00;1,00;2,00
2019-05-05;82,00;355,33;289,73;519,33;235,75;10,25;1025,00;123,00;153,75;107,63;102,50;138,38;191,33;250,56;50,11;9,11;93,71;392,43;17,57;52,71;23,00;38,00;43,00;36,00;32,59;39,95;16,82;26,28;27,00;9,00;8,00;11,00;18,00;1,00;2,00
2019-05-12;83,00;332,00;223,06;435,75;238,63;10,38;363,13;124,50;147,84;114,13;98,56;127,09;170,37;222,79;52,42;8,74;106,71;397,21;17,79;35,57;19,00;42,00;36,00;43,00;21,79;40,46;12,45;25,94;17,00;8,00;9,00;5,00;19,00;1,00;2,00
