Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;37,00;30,27;14,58;14,58;7,85;7,00;0,00;22,00;15,00
2019-01-13;14,00;56,00;34,46;20,46;0,00;0,00;0,00;21,00;0,00
2019-01-20;20,00;20,00;27,78;27,78;6,67;7,00;0,00;14,00;14,00
2019-01-27;34,00;20,84;13,16;6,58;0,00;0,00;14,00;21,00;0,00
2019-02-03;42,00;20,46;28,00;14,00;6,46;7,00;0,00;7,00;36,00
2019-02-10;50,00;14,44;35,56;21,11;6,67;0,00;0,00;21,00;0,00
2019-02-17;15,00;30,00;30,00;8,08;0,00;0,00;0,00;0,00;0,00
2019-02-24;50,00;0,00;42,39;7,61;0,00;0,00;7,00;14,00;0,00
2019-03-03;7,00;7,00;20,00;20,00;7,00;0,00;7,00;7,00;0,00
2019-03-10;22,00;0,00;22,00;14,30;7,70;7,00;7,00;7,00;15,00
2019-03-17;15,00;15,00;21,43;7,50;7,50;0,00;0,00;0,00;7,00
2019-03-24;60,00;7,64;7,64;29,45;15,27;0,00;0,00;0,00;8,00
2019-03-31;29,00;0,00;7,81;14,50;14,50;0,00;0,00;0,00;7,00
2019-04-07;14,00;6,46;14,00;14,00;6,46;0,00;0,00;7,00;0,00
2019-04-14;7,00;0,00;13,00;20,00;7,00;0,00;0,00;7,00;0,00
2019-04-21;53,00;0,00;15,46;38,65;0,00;8,00;8,00;8,00;15,00
2019-04-28;21,00;0,00;0,00;0,00;14,37;7,00;0,00;7,00;14,00
2019-05-05;7,00;7,00;15,17;15,17;0,00;0,00;0,00;7,00;7,00
2019-05-12;41,00;109,70;21,05;41,00;6,65;0,00;0,00;0,00;7,00
2019-05-19;41,00;110,81;6,65;13,30;6,65;0,00;0,00;14,00;7,00
2019-05-26;40,00;53,33;40,00;0,00;0,00;13,00;7,00;7,00;0,00
2019-06-02;36,00;7,64;0,00;7,64;14,18;0,00;0,00;22,00;14,00
2019-06-09;21,00;6,63;0,00;6,63;0,00;7,00;0,00;7,00;7,00
2019-06-16;36,00;14,18;14,18;21,82;28,36;7,00;7,00;0,00;14,00
2019-06-23;36,00;21,82;43,64;14,18;0,00;0,00;0,00;0,00;29,00
2019-06-30;58,00;14,23;21,89;7,66;0,00;0,00;7,00;7,00;0,00
2019-07-07;42,00;21,00;14,37;28,74;14,37;7,00;0,00;0,00;0,00
2019-07-14;51,00;29,30;14,11;7,60;21,70;0,00;0,00;0,00;22,00
2019-07-21;45,00;22,50;7,88;45,00;7,88;0,00;0,00;22,00;7,00
2019-07-28;75,00;15,44;29,78;0,00;7,72;15,00;0,00;0,00;7,00
2019-08-04;78,00;23,40;23,40;23,40;7,80;0,00;0,00;16,00;23,00
2019-08-11;24,00;16,36;7,64;7,64;0,00;0,00;0,00;8,00;25,00
2019-08-18;23,00;39,10;8,05;16,10;23,00;8,00;0,00;8,00;8,00
2019-08-25;35,00;27,34;14,22;27,34;6,56;7,00;7,00;14,00;14,00
2019-09-01;52,00;13,28;13,28;6,64;0,00;7,00;7,00;0,00;7,00
2019-09-08;20,00;6,67;27,78;0,00;13,33;0,00;7,00;0,00;0,00
2019-09-15;33,00;13,20;0,00;13,20;0,00;0,00;7,00;0,00;27,00
2019-09-22;33,00;19,80;13,20;6,60;0,00;7,00;7,00;0,00;13,00
2019-09-29;20,00;6,67;20,00;13,33;0,00;0,00;0,00;13,00;0,00
2019-10-06;27,00;27,00;27,00;6,48;20,52;0,00;0,00;7,00;14,00
2019-10-13;20,00;20,00;13,33;13,33;13,33;0,00;0,00;0,00;7,00
2019-10-20;26,00;13,00;31,42;0,00;13,00;0,00;7,00;0,00;0,00
2019-10-27;20,00;20,00;26,67;6,67;6,67;0,00;0,00;7,00;0,00
2019-11-03;39,00;13,37;20,06;25,63;6,69;0,00;6,00;19,00;26,00
2019-11-10;13,00;13,00;0,00;13,00;13,00;0,00;7,00;13,00;0,00
2019-11-17;13,00;24,92;13,00;13,00;13,00;0,00;0,00;0,00;6,00
2019-11-24;13,00;13,00;6,50;6,50;0,00;0,00;0,00;7,00;0,00
2019-12-01;27,00;13,50;13,50;6,75;0,00;7,00;13,00;13,00;20,00
2019-12-08;13,00;6,50;19,50;13,00;0,00;7,00;0,00;14,00;14,00
2019-12-15;14,00;14,00;7,00;7,00;0,00;0,00;0,00;28,00;7,00
2019-12-22;31,00;46,50;7,75;7,75;7,75;0,00;0,00;39,00;0,00
2019-12-29;15,00;38,08;38,08;23,08;0,00;0,00;7,00;22,00;0,00
2020-01-05;33,00;19,80;6,60;19,80;6,60;7,00;0,00;13,00;13,00
2020-01-12;67,00;18,67;18,67;18,67;12,08;6,00;6,00;12,00;6,00
2020-01-19;13,00;37,92;18,42;24,92;0,00;13,00;13,00;19,00;19,00
2020-01-26;31,00;31,00;18,82;0,00;0,00;0,00;0,00;12,00;12,00
2020-02-02;37,00;37,00;0,00;19,06;6,73;0,00;12,00;0,00;37,00
2020-02-09;19,00;19,00;6,71;12,29;6,71;6,00;6,00;25,00;0,00
2020-02-16;19,00;6,71;12,29;19,00;6,71;6,00;0,00;25,00;13,00
2020-02-23;23,00;0,00;5,48;5,48;0,00;0,00;0,00;12,00;24,00
2020-03-01;12,00;0,00;12,00;24,00;0,00;0,00;6,00;12,00;12,00
2020-03-08;0,00;10,00;0,00;16,00;5,00;0,00;6,00;6,00;0,00
2020-03-15;17,00;10,63;0,00;10,63;0,00;0,00;6,00;0,00;6,00
2020-03-22;21,00;5,53;5,53;11,05;11,05;5,00;5,00;0,00;11,00
2020-03-29;22,00;11,00;11,00;0,00;0,00;0,00;6,00;6,00;17,00
