Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;43,00;286,67;71,67;43,00;43,00;17,71;30,35;30,35;24,03;24,00;6,00;0,00;0,00
2019-01-13;36,00;306,00;126,00;18,00;36,00;42,21;17,38;17,38;17,38;6,00;0,00;0,00;6,00
2019-01-20;41,00;396,33;68,33;13,67;27,33;34,79;23,61;23,61;11,18;12,00;6,00;12,00;0,00
2019-01-27;36,00;360,00;126,00;9,00;18,00;11,57;36,00;0,00;6,43;12,00;0,00;0,00;0,00
2019-02-03;19,00;380,00;95,00;57,00;38,00;43,07;19,00;0,00;0,00;25,00;0,00;6,00;6,00
2019-02-10;31,00;279,00;93,00;46,50;15,50;18,60;12,40;0,00;18,60;6,00;6,00;13,00;0,00
2019-02-17;38,00;240,67;76,00;12,67;12,67;19,00;12,67;6,33;12,67;19,00;13,00;13,00;6,00
2019-02-24;31,00;325,50;77,50;31,00;31,00;19,38;12,92;0,00;6,46;19,00;12,00;12,00;0,00
2019-03-03;38,00;240,67;88,67;38,00;25,33;44,33;31,67;0,00;12,67;6,00;6,00;13,00;6,00
2019-03-10;50,00;416,67;100,00;33,33;50,00;37,18;19,23;0,00;19,23;0,00;0,00;0,00;6,00
2019-03-17;19,00;342,00;95,00;57,00;57,00;12,67;12,67;0,00;12,67;6,00;6,00;0,00;0,00
2019-03-24;13,00;299,00;104,00;6,50;26,00;39,00;26,00;6,50;19,50;6,00;0,00;44,00;0,00
2019-03-31;49,00;375,67;65,33;32,67;49,00;23,87;18,85;12,56;0,00;6,00;6,00;0,00;0,00
2019-04-07;39,00;286,00;91,00;26,00;26,00;39,00;32,71;6,29;12,58;32,00;19,00;13,00;6,00
2019-04-14;33,00;1650,00;115,50;33,00;33,00;12,69;59,65;12,69;0,00;46,00;13,00;33,00;13,00
2019-04-21;57,00;213,75;156,75;42,75;14,25;25,33;25,33;6,33;0,00;19,00;25,00;0,00;6,00
2019-04-28;47,00;266,33;94,00;15,67;31,33;58,43;17,78;0,00;22,86;17,00;23,00;23,00;6,00
2019-05-05;58,00;304,50;58,00;14,50;43,50;69,35;17,65;11,35;17,65;6,00;0,00;0,00;12,00
2019-05-12;42,00;224,00;84,00;14,00;28,00;17,82;24,18;24,18;0,00;6,00;6,00;6,00;0,00
2019-05-19;65,00;325,00;97,50;48,75;65,00;35,00;28,75;11,25;11,25;18,00;6,00;24,00;0,00
2019-05-26;59,00;354,00;118,00;29,50;29,50;24,37;24,37;11,54;11,54;12,00;6,00;23,00;0,00
2019-06-02;66,00;303,60;105,60;26,40;39,60;55,85;16,50;11,42;0,00;22,00;6,00;28,00;6,00
2019-06-09;40,00;200,00;106,67;13,33;13,33;51,25;17,50;17,50;33,75;23,00;6,00;17,00;11,00
2019-06-16;66,00;264,00;148,50;33,00;33,00;35,54;17,77;0,00;17,77;18,00;6,00;6,00;12,00
2019-06-23;44,00;278,67;132,00;44,00;44,00;56,57;44,00;12,57;18,86;13,00;19,00;0,00;6,00
