Tout_inclus;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;78,00;55,00;39,00;40,00;8,00;38,05;89,41;190,24;93,22
2019-01-13;80,00;47,00;34,00;41,00;12,00;38,10;83,81;173,33;85,71
2019-01-20;72,00;44,00;31,00;38,00;11,00;36,00;62,53;149,68;83,37
2019-01-27;78,00;50,00;38,00;36,00;12,00;35,10;68,25;142,35;78,00
2019-02-03;86,00;53,00;34,00;31,00;10,00;32,49;66,89;141,42;74,53
2019-02-10;100,00;42,00;43,00;29,00;13,00;32,69;59,62;125,00;69,23
2019-02-17;96,00;37,00;41,00;27,00;12,00;32,64;59,52;124,80;80,64
2019-02-24;91,00;41,00;27,00;25,00;12,00;38,72;56,15;123,91;79,38
2019-03-03;85,00;45,00;37,00;27,00;10,00;34,00;51,00;119,00;75,56
2019-03-10;66,00;34,00;27,00;26,00;11,00;33,00;54,35;120,35;69,88
2019-03-17;68,00;40,00;32,00;27,00;11,00;32,11;51,00;126,56;62,33
2019-03-24;63,00;41,00;28,00;24,00;13,00;32,45;53,45;120,27;66,82
2019-03-31;65,00;38,00;34,00;23,00;11,00;28,68;51,62;122,35;61,18
2019-04-07;64,00;37,00;43,00;27,00;14,00;29,09;56,24;129,94;60,12
2019-04-14;54,00;43,00;22,00;26,00;13,00;27,00;46,29;121,50;55,93
2019-04-21;59,00;40,00;34,00;27,00;11,00;34,26;49,48;142,74;55,19
2019-04-28;60,00;41,00;41,00;26,00;13,00;32,90;69,68;147,10;54,19
2019-05-05;58,00;36,00;26,00;27,00;13,00;29,00;54,13;143,07;54,13
2019-05-12;52,00;34,00;31,00;27,00;18,00;26,96;50,07;154,07;53,93
2019-05-19;51,00;41,00;46,00;30,00;17,00;35,89;62,33;154,89;54,78
2019-05-26;52,00;42,00;31,00;31,00;15,00;32,74;59,70;161,78;59,70
2019-06-02;52,00;43,00;32,00;36,00;16,00;40,44;63,56;161,78;57,78
2019-06-09;60,00;55,00;40,00;39,00;18,00;44,52;60,00;164,52;61,94
2019-06-16;63,00;53,00;49,00;43,00;22,00;51,55;59,18;168,00;64,91
2019-06-23;62,00;50,00;34,00;41,00;20,00;48,44;63,94;170,50;58,13
