Avion;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;52,00;78,00;18,00;12,00;5,00;16,10;111,43;6,19;22,29
2019-01-13;49,00;78,00;17,00;11,00;4,00;13,48;109,03;6,13;19,60
2019-01-20;45,00;69,00;12,00;11,00;5,00;12,16;93,65;6,08;20,68
2019-01-27;40,00;65,00;15,00;11,00;4,00;12,50;106,25;6,25;20,00
2019-02-03;43,00;69,00;12,00;12,00;5,00;12,29;99,51;7,37;19,66
2019-02-10;39,00;74,00;11,00;10,00;4,00;15,84;97,50;6,09;19,50
2019-02-17;45,00;59,00;17,00;11,00;5,00;12,16;96,08;6,08;20,68
2019-02-24;47,00;63,00;19,00;11,00;5,00;13,61;100,18;6,18;21,03
2019-03-03;40,00;80,00;17,00;12,00;5,00;13,75;93,75;6,25;22,50
2019-03-10;41,00;69,00;13,00;12,00;5,00;13,67;90,70;4,97;21,12
2019-03-17;45,00;65,00;17,00;11,00;4,00;12,50;87,50;7,50;21,25
2019-03-24;45,00;68,00;15,00;12,00;4,00;15,00;81,25;6,25;20,00
2019-03-31;48,00;73,00;17,00;12,00;6,00;14,77;89,85;6,15;20,92
2019-04-07;47,00;70,00;15,00;13,00;5,00;13,61;87,82;8,66;19,79
2019-04-14;42,00;59,00;16,00;12,00;4,00;13,59;76,59;6,18;18,53
2019-04-21;46,00;66,00;16,00;12,00;5,00;13,68;77,08;7,46;19,89
2019-04-28;45,00;57,00;14,00;11,00;5,00;15,00;91,25;6,25;20,00
2019-05-05;43,00;64,00;12,00;11,00;5,00;13,51;82,31;7,37;19,66
2019-05-12;41,00;57,00;13,00;11,00;6,00;13,67;85,73;7,45;21,12
2019-05-19;41,00;60,00;18,00;13,00;5,00;13,67;89,45;7,45;21,12
2019-05-26;41,00;63,00;15,00;13,00;6,00;12,42;91,94;6,21;21,12
2019-06-02;45,00;64,00;16,00;13,00;6,00;16,25;88,75;7,50;21,25
2019-06-09;48,00;78,00;16,00;14,00;6,00;16,42;94,74;6,32;22,74
2019-06-16;48,00;72,00;13,00;14,00;6,00;17,23;91,08;7,38;22,15
2019-06-23;47,00;69,00;19,00;13,00;6,00;17,32;89,05;7,42;22,26
2019-06-30;55,00;93,00;17,00;16,00;6,00;16,25;100,00;7,50;22,50
2019-07-07;55,00;88,00;19,00;16,00;7,00;18,33;122,22;8,56;22,00
2019-07-14;52,00;99,00;21,00;15,00;8,00;17,33;118,86;8,67;22,29
2019-07-21;50,00;75,00;20,00;16,00;8,00;18,29;114,63;9,76;20,73
2019-07-28;57,00;87,00;17,00;15,00;9,00;19,83;109,04;8,67;21,07
2019-08-04;54,00;83,00;19,00;14,00;9,00;19,64;111,68;8,59;19,64
2019-08-11;51,00;70,00;17,00;12,00;7,00;17,41;105,73;7,46;19,90
2019-08-18;44,00;60,00;24,00;13,00;7,00;14,67;96,56;7,33;19,56
2019-08-25;38,00;70,00;13,00;12,00;7,00;14,71;94,39;7,35;18,39
2019-09-01;41,00;58,00;14,00;11,00;5,00;16,15;99,39;8,70;18,64
2019-09-08;44,00;70,00;14,00;11,00;7,00;15,09;91,77;10,06;18,86
