Disney;BE;CH;DE;ES;FR;IT;NL;UK;US
2019-01-06;70,00;13,00;17,00;27,00;44,00;14,00;39,00;46,00;1,00
2019-01-13;71,00;16,00;17,00;28,00;47,00;18,00;37,00;39,00;1,00
2019-01-20;53,00;12,00;15,00;25,00;39,00;17,00;32,00;33,00;1,00
2019-01-27;44,00;9,00;12,00;24,00;29,00;12,00;27,00;30,00;1,00
2019-02-03;44,00;12,00;11,00;25,00;31,00;10,00;24,00;31,00;1,00
2019-02-10;47,00;13,00;11,00;29,00;35,00;10,00;26,00;32,00;1,00
2019-02-17;47,00;12,00;11,00;30,00;37,00;10,00;26,00;31,00;1,00
2019-02-24;46,00;14,00;11,00;27,00;33,00;11,00;24,00;27,00;1,00
2019-03-03;61,00;13,00;12,00;30,00;36,00;10,00;34,00;32,00;1,00
2019-03-10;48,00;15,00;13,00;29,00;35,00;15,00;34,00;31,00;1,00
2019-03-17;63,00;10,00;14,00;31,00;47,00;18,00;35,00;61,00;1,00
2019-03-24;58,00;15,00;14,00;33,00;47,00;15,00;32,00;40,00;1,00
2019-03-31;64,00;15,00;14,00;26,00;43,00;14,00;40,00;27,00;1,00
2019-04-07;64,00;20,00;16,00;27,00;50,00;15,00;31,00;31,00;1,00
2019-04-14;52,00;24,00;17,00;28,00;51,00;14,00;35,00;26,00;1,00
2019-04-21;49,00;21,00;17,00;27,00;50,00;16,00;36,00;25,00;1,00
2019-04-28;50,00;17,00;18,00;21,00;47,00;14,00;35,00;25,00;1,00
2019-05-05;47,00;15,00;19,00;25,00;38,00;12,00;27,00;25,00;1,00
2019-05-12;46,00;15,00;19,00;26,00;37,00;12,00;27,00;27,00;1,00
2019-05-19;45,00;15,00;18,00;26,00;38,00;11,00;33,00;28,00;1,00
2019-05-26;48,00;18,00;17,00;24,00;46,00;10,00;30,00;32,00;1,00
2019-06-02;53,00;13,00;16,00;28,00;39,00;11,00;29,00;27,00;1,00
2019-06-09;56,00;12,00;18,00;26,00;43,00;14,00;29,00;29,00;1,00
2019-06-16;51,00;13,00;16,00;27,00;42,00;14,00;26,00;30,00;1,00
2019-06-23;47,00;12,00;13,00;23,00;42,00;12,00;23,00;28,00;1,00
2019-06-30;62,00;12,00;14,00;27,00;47,00;13,00;26,00;28,00;1,00
2019-07-07;66,00;16,00;18,00;25,00;47,00;13,00;44,00;29,00;1,00
2019-07-14;73,00;17,00;17,00;29,00;61,00;14,00;40,00;31,00;1,00
2019-07-21;60,00;15,00;16,00;28,00;52,00;14,00;35,00;31,00;1,00
2019-07-28;71,00;18,00;20,00;29,00;55,00;16,00;37,00;34,00;1,00
2019-08-04;70,00;12,00;16,00;29,00;60,00;16,00;43,00;35,00;1,00
2019-08-11;65,00;16,00;16,00;28,00;61,00;17,00;35,00;33,00;1,00
2019-08-18;66,00;15,00;15,00;30,00;57,00;17,00;34,00;33,00;1,00
2019-08-25;56,00;15,00;15,00;31,00;50,00;17,00;26,00;32,00;1,00
2019-09-01;64,00;18,00;16,00;26,00;46,00;15,00;32,00;32,00;1,00
2019-09-08;74,00;21,00;16,00;24,00;51,00;14,00;48,00;37,00;1,00
2019-09-15;76,00;19,00;16,00;24,00;49,00;15,00;40,00;38,00;1,00
2019-09-22;94,00;22,00;20,00;28,00;55,00;14,00;43,00;38,00;1,00
2019-09-29;81,00;20,00;21,00;25,00;53,00;15,00;38,00;36,00;1,00
2019-10-06;65,00;18,00;16,00;25,00;58,00;13,00;44,00;31,00;1,00
2019-10-13;62,00;19,00;15,00;22,00;56,00;18,00;39,00;32,00;1,00
2019-10-20;64,00;19,00;14,00;18,00;65,00;19,00;32,00;33,00;1,00
2019-10-27;68,00;16,00;13,00;22,00;61,00;19,00;29,00;28,00;1,00
2019-11-03;61,00;14,00;12,00;24,00;52,00;15,00;35,00;27,00;1,00
2019-11-10;67,00;14,00;12,00;23,00;58,00;17,00;34,00;23,00;1,00
2019-11-17;62,00;14,00;13,00;29,00;52,00;21,00;32,00;24,00;2,00
2019-11-24;59,00;11,00;12,00;26,00;51,00;16,00;27,00;21,00;2,00
2019-12-01;46,00;12,00;12,00;23,00;50,00;15,00;27,00;20,00;1,00
