Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;25,00;47,00;25,00;13,00;6,00;91,67;37,50;54,17;12,50
2019-01-13;29,00;49,00;28,00;14,00;6,00;95,29;41,43;45,57;12,43
2019-01-20;29,00;54,00;24,00;11,00;8,00;95,29;37,29;49,71;12,43
2019-01-27;33,00;44,00;26,00;10,00;7,00;86,63;33,00;45,38;12,38
2019-02-03;34,00;47,00;24,00;10,00;8,00;89,25;34,00;51,00;12,75
2019-02-10;35,00;48,00;38,00;10,00;8,00;100,63;48,13;52,50;13,13
2019-02-17;37,00;55,00;24,00;9,00;8,00;90,44;37,00;49,33;12,33
2019-02-24;44,00;51,00;32,00;8,00;9,00;110,00;39,60;52,80;13,20
2019-03-03;41,00;51,00;34,00;11,00;7,00;106,60;36,90;49,20;12,30
2019-03-10;37,00;47,00;29,00;11,00;7,00;106,89;32,89;49,33;12,33
2019-03-17;37,00;44,00;26,00;10,00;9,00;115,11;32,89;49,33;12,33
2019-03-24;39,00;45,00;27,00;9,00;8,00;121,33;39,00;52,00;13,00
2019-03-31;37,00;50,00;35,00;11,00;7,00;135,67;49,33;53,44;12,33
2019-04-07;37,00;53,00;42,00;12,00;9,00;139,78;45,22;61,67;12,33
2019-04-14;37,00;46,00;39,00;13,00;8,00;143,89;45,22;61,67;12,33
2019-04-21;35,00;47,00;34,00;12,00;7,00;175,00;39,38;61,25;13,13
2019-04-28;35,00;50,00;31,00;12,00;8,00;144,38;56,88;61,25;13,13
2019-05-05;33,00;45,00;36,00;12,00;7,00;132,00;41,25;53,63;12,38
2019-05-12;32,00;47,00;32,00;12,00;8,00;116,00;44,00;56,00;12,00
2019-05-19;36,00;50,00;34,00;12,00;8,00;135,00;54,00;72,00;13,50
2019-05-26;42,00;60,00;41,00;14,00;9,00;138,60;54,60;63,00;12,60
2019-06-02;38,00;62,00;38,00;12,00;10,00;177,33;46,44;63,33;12,67
2019-06-09;39,00;67,00;44,00;14,00;9,00;199,33;43,33;65,00;13,00
2019-06-16;40,00;74,00;39,00;14,00;10,00;217,78;53,33;66,67;17,78
2019-06-23;41,00;69,00;33,00;14,00;10,00;209,10;45,10;65,60;16,40
2019-06-30;40,00;96,00;40,00;12,00;10,00;235,56;48,89;71,11;17,78
2019-07-07;47,00;90,00;36,00;14,00;11,00;222,18;59,82;68,36;17,09
2019-07-14;51,00;99,00;48,00;16,00;10,00;229,50;63,75;68,00;17,00
2019-07-21;53,00;79,00;43,00;16,00;11,00;240,54;61,15;65,23;16,31
2019-07-28;54,00;73,00;44,00;15,00;10,00;253,38;62,31;70,62;12,46
2019-08-04;62,00;81,00;36,00;14,00;13,00;318,27;74,40;74,40;16,53
2019-08-11;64,00;67,00;35,00;15,00;10,00;341,33;72,53;68,27;12,80
2019-08-18;54,00;71,00;37,00;14,00;11,00;232,62;62,31;74,77;12,46
2019-08-25;43,00;58,00;31,00;14,00;9,00;189,20;47,30;64,50;12,90
2019-09-01;34,00;51,00;36,00;13,00;9,00;157,25;46,75;59,50;12,75
2019-09-08;35,00;47,00;36,00;12,00;8,00;157,50;48,13;65,63;13,13
2019-09-15;30,00;48,00;32,00;13,00;8,00;145,71;42,86;64,29;12,86
2019-09-22;28,00;44,00;30,00;11,00;8,00;120,00;36,00;56,00;12,00
2019-09-29;29,00;43,00;32,00;12,00;6,00;124,29;33,14;53,86;12,43
2019-10-06;27,00;34,00;29,00;10,00;7,00;130,50;45,00;58,50;13,50
2019-10-13;26,00;35,00;24,00;10,00;8,00;121,33;34,67;47,67;13,00
2019-10-20;26,00;33,00;27,00;11,00;6,00;121,33;34,67;47,67;13,00
2019-10-27;24,00;36,00;13,00;8,00;6,00;104,00;28,00;40,00;12,00
2019-11-03;22,00;33,00;20,00;8,00;6,00;101,20;30,80;44,00;13,20
2019-11-10;20,00;34,00;20,00;9,00;5,00;96,00;24,00;32,00;8,00
2019-11-17;20,00;34,00;16,00;8,00;7,00;96,00;24,00;32,00;8,00
2019-11-24;18,00;34,00;15,00;9,00;8,00;94,50;27,00;36,00;9,00
2019-12-01;20,00;26,00;18,00;9,00;7,00;88,00;24,00;28,00;12,00
2019-12-08;18,00;26,00;17,00;8,00;6,00;90,00;27,00;31,50;13,50
2019-12-15;16,00;29,00;16,00;8,00;5,00;80,00;24,00;28,00;12,00
2019-12-22;45,00;37,00;29,00;10,00;6,00;110,45;28,64;40,91;20,45
2019-12-29;26,00;38,00;26,00;11,00;7,00;125,67;34,67;47,67;17,33
2020-01-05;24,00;42,00;26,00;12,00;7,00;84,00;32,00;48,00;16,00
2020-01-12;25,00;44,00;28,00;12,00;7,00;95,83;41,67;45,83;16,67
2020-01-19;26,00;42,00;24,00;11,00;7,00;99,67;39,00;47,67;17,33
2020-01-26;27,00;40,00;25,00;10,00;7,00;103,50;36,00;49,50;13,50
2020-02-02;35,00;45,00;28,00;11,00;6,00;96,25;30,63;52,50;17,50
2020-02-09;29,00;41,00;24,00;11,00;7,00;107,71;29,00;49,71;16,57
2020-02-16;32,00;44,00;24,00;12,00;6,00;96,00;36,00;44,00;16,00
2020-02-23;26,00;45,00;21,00;8,00;7,00;56,33;30,33;47,67;13,00
2020-03-01;24,00;31,00;15,00;8,00;6,00;56,00;24,00;44,00;12,00
2020-03-08;19,00;28,00;13,00;6,00;4,00;19,00;19,00;34,20;11,40
2020-03-15;8,00;15,00;6,00;3,00;2,00;16,00;8,00;20,00;8,00
2020-03-22;8,00;11,00;4,00;2,00;2,00;12,00;8,00;16,00;8,00
2020-03-29;10,00;13,00;6,00;2,00;1,00;15,00;5,00;20,00;5,00
2020-04-05;9,00;10,00;6,00;2,00;2,00;13,50;9,00;22,50;9,00
2020-04-12;10,00;19,00;6,00;2,00;2,00;20,00;20,00;20,00;10,00
2020-04-19;11,00;14,00;10,00;2,00;2,00;14,67;14,67;14,67;7,33
2020-04-26;11,00;16,00;10,00;2,00;1,00;18,33;22,00;14,67;7,33
2020-05-03;13,00;13,00;16,00;3,00;2,00;21,67;26,00;21,67;8,67
2020-05-10;17,00;14,00;16,00;3,00;1,00;29,75;38,25;21,25;12,75
2020-05-17;24,00;22,00;26,00;5,00;2,00;44,00;40,00;20,00;12,00
2020-05-24;27,00;27,00;28,00;5,00;3,00;67,50;45,00;22,50;13,50
2020-05-31;35,00;45,00;28,00;7,00;3,00;100,63;52,50;26,25;13,13
2020-06-07;40,00;58,00;32,00;8,00;4,00;120,00;57,78;26,67;17,78
2020-06-14;41,00;77,00;25,00;8,00;4,00;143,50;57,40;32,80;16,40
2020-06-21;46,00;74,00;35,00;8,00;5,00;184,00;66,91;41,82;16,73
2020-06-28;52,00;85,00;34,00;10,00;5,00;212,33;69,33;47,67;17,33
2020-07-05;57,00;93,00;37,00;10,00;5,00;245,54;74,54;52,62;17,54
2020-07-12;54,00;100,00;45,00;11,00;6,00;236,77;78,92;58,15;16,62
2020-07-19;54,00;81,00;46,00;11,00;5,00;274,15;74,77;70,62;16,62
2020-07-26;60,00;70,00;42,00;11,00;7,00;300,00;77,14;77,14;17,14
2020-08-02;70,00;84,00;39,00;10,00;5,00;354,12;74,12;78,24;16,47
2020-08-09;62,00;69,00;30,00;10,00;5,00;413,33;49,60;66,13;16,53
2020-08-16;56,00;70,00;33,00;9,00;4,00;305,85;56,00;68,92;17,23
2020-08-23;40,00;60,00;29,00;8,00;4,00;195,56;57,78;71,11;17,78
2020-08-30;35,00;59,00;33,00;9,00;4,00;157,50;56,88;61,25;17,50
2020-09-06;36,00;63,00;30,00;9,00;3,00;128,00;72,00;52,00;16,00
2020-09-13;31,00;51,00;25,00;8,00;3,00;119,57;62,00;57,57;17,71
2020-09-20;26,00;33,00;24,00;7,00;3,00;91,00;39,00;43,33;17,33
2020-09-27;20,00;32,00;17,00;7,00;2,00;72,00;32,00;36,00;16,00
2020-10-04;20,00;28,00;20,00;6,00;3,00;68,00;32,00;36,00;16,00
2020-10-11;21,00;25,00;13,00;4,00;3,00;58,80;25,20;33,60;16,80
2020-10-18;21,00;26,00;12,00;4,00;3,00;37,80;16,80;29,40;16,80
2020-10-25;12,00;19,00;9,00;3,00;2,00;32,00;16,00;24,00;12,00
2020-11-01;8,00;20,00;8,00;2,00;1,00;24,00;16,00;20,00;12,00
2020-11-08;9,00;26,00;10,00;2,00;2,00;27,00;18,00;22,50;13,50
2020-11-15;8,00;18,00;8,00;3,00;2,00;24,00;16,00;16,00;12,00
2020-11-22;10,00;21,00;9,00;2,00;2,00;35,00;20,00;20,00;15,00
2020-11-29;11,00;17,00;9,00;2,00;2,00;22,00;11,00;14,67;11,00
2020-12-06;11,00;18,00;8,00;2,00;2,00;25,67;14,67;18,33;11,00
2020-12-13;14,00;19,00;7,00;2,00;2,00;32,67;14,00;18,67;14,00
2020-12-20;12,00;20,00;12,00;3,00;1,00;20,00;16,00;16,00;12,00
2020-12-27;16,00;25,00;13,00;3,00;2,00;28,00;20,00;16,00;12,00
2021-01-03;13,00;25,00;9,00;3,00;2,00;30,33;17,33;17,33;13,00
2021-01-10;14,00;28,00;12,00;2,00;2,00;37,33;18,67;18,67;14,00
2021-01-17;15,00;26,00;8,00;2,00;1,00;30,00;18,75;15,00;11,25
2021-01-24;13,00;26,00;12,00;2,00;2,00;34,67;17,33;21,67;13,00
2021-01-31;19,00;29,00;11,00;2,00;2,00;47,50;23,75;19,00;14,25
2021-02-07;19,00;25,00;14,00;2,00;2,00;41,80;19,00;15,20;11,40
2021-02-14;23,00;33,00;16,00;3,00;2,00;46,00;36,80;23,00;13,80
2021-02-21;22,00;29,00;11,00;3,00;3,00;44,00;35,20;26,40;13,20
2021-02-28;20,00;28,00;14,00;3,00;2,00;36,00;28,00;24,00;12,00
2021-03-07;23,00;39,00;13,00;3,00;2,00;36,80;36,80;32,20;18,40
2021-03-14;21,00;35,00;11,00;2,00;3,00;37,80;29,40;29,40;16,80
2021-03-21;18,00;25,00;16,00;2,00;3,00;36,00;45,00;31,50;18,00
2021-03-28;16,00;29,00;13,00;2,00;3,00;32,00;36,00;28,00;20,00
2021-04-04;13,00;36,00;17,00;3,00;2,00;47,67;43,33;34,67;21,67
2021-04-11;17,00;44,00;24,00;3,00;3,00;55,25;51,00;34,00;21,25
2021-04-18;21,00;30,00;18,00;3,00;3,00;63,00;54,60;33,60;25,20
2021-04-25;28,00;43,00;18,00;4,00;3,00;72,00;52,00;36,00;20,00
2021-05-02;39,00;46,00;20,00;4,00;4,00;86,67;60,67;43,33;26,00
2021-05-09;38,00;50,00;26,00;5,00;4,00;105,56;50,67;46,44;25,33
2021-05-16;39,00;48,00;22,00;7,00;3,00;130,00;56,33;52,00;21,67
2021-05-23;37,00;53,00;29,00;8,00;5,00;139,78;53,44;53,44;20,56
2021-05-30;33,00;46,00;33,00;7,00;5,00;165,00;57,75;53,63;20,63
2021-06-06;43,00;57,00;38,00;9,00;5,00;172,00;55,90;60,20;21,50
2021-06-13;39,00;68,00;34,00;8,00;5,00;203,67;56,33;52,00;21,67
2021-06-20;39,00;64,00;28,00;9,00;6,00;221,00;60,67;60,67;21,67
2021-06-27;40,00;68,00;32,00;10,00;5,00;231,11;57,78;62,22;22,22
