Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;23,00;147,86;1,64;39,43;6,57;10,00;6,00;3,00;3,00;3,00;3,00;1,00;1,00
2019-01-13;21,00;157,50;1,75;45,50;7,00;11,00;5,00;5,00;5,00;4,00;3,00;1,00;0,50
2019-01-20;21,00;120,00;1,50;39,00;6,00;8,00;4,00;3,00;4,00;2,00;2,00;2,00;1,00
2019-01-27;18,00;158,40;1,80;54,00;7,20;11,00;7,00;2,00;3,00;4,00;3,00;1,00;1,00
2019-02-03;14,00;143,50;3,50;56,00;7,00;10,00;6,00;2,00;7,00;3,00;3,00;1,00;1,00
2019-02-10;17,00;156,40;3,40;61,20;6,80;9,00;5,00;1,00;6,00;4,00;4,00;1,00;0,50
2019-02-17;18,00;138,00;1,50;51,00;9,00;7,00;7,00;1,00;5,00;3,00;3,00;0,50;1,00
2019-02-24;16,00;150,40;3,20;57,60;6,40;11,00;8,00;2,00;4,00;3,00;4,00;2,00;1,00
2019-03-03;18,00;180,00;3,60;64,80;7,20;7,00;10,00;2,00;4,00;3,00;3,00;2,00;0,50
2019-03-10;20,00;163,33;1,67;63,33;6,67;10,00;6,00;2,00;7,00;3,00;2,00;2,00;1,00
2019-03-17;21,00;171,50;1,75;66,50;7,00;13,00;7,00;2,00;6,00;4,00;4,00;2,00;1,00
2019-03-24;19,00;152,00;3,17;69,67;3,17;11,00;9,00;2,00;6,00;2,00;2,00;3,00;1,00
2019-03-31;24,00;171,43;1,71;68,57;6,86;12,00;8,00;4,00;4,00;3,00;4,00;3,00;1,00
2019-04-07;37,00;205,18;1,68;74,00;10,09;13,00;7,00;4,00;4,00;4,00;4,00;2,00;1,00
2019-04-14;35,00;318,18;1,59;89,09;6,36;16,00;9,00;4,00;5,00;5,00;3,00;1,00;1,00
2019-04-21;35,00;155,91;1,59;76,36;6,36;15,00;13,00;5,00;4,00;4,00;3,00;2,00;1,00
2019-04-28;30,00;156,67;1,67;76,67;6,67;15,00;10,00;5,00;4,00;4,00;3,00;2,00;0,50
2019-05-05;27,00;155,25;1,69;60,75;6,75;14,00;9,00;7,00;6,00;4,00;2,00;2,00;1,00
2019-05-12;32,00;160,00;1,60;73,60;9,60;15,00;7,00;5,00;6,00;3,00;2,00;2,00;1,00
2019-05-19;28,00;155,56;1,56;68,44;12,44;16,00;7,00;5,00;4,00;3,00;3,00;2,00;2,00
2019-05-26;34,00;170,00;3,40;85,00;10,20;14,00;10,00;4,00;6,00;5,00;2,00;2,00;2,00
2019-06-02;40,00;180,00;3,33;76,67;10,00;15,00;10,00;4,00;5,00;4,00;5,00;2,00;1,00
2019-06-09;38,00;177,33;3,17;79,17;6,33;17,00;10,00;6,00;6,00;5,00;4,00;2,00;2,00
2019-06-16;44,00;157,14;3,14;88,00;9,43;17,00;11,00;5,00;5,00;6,00;3,00;3,00;1,00
2019-06-23;37,00;151,36;3,36;60,55;10,09;20,00;12,00;5,00;8,00;5,00;3,00;4,00;2,00
2019-06-30;39,00;146,25;1,63;65,00;9,75;15,00;11,00;4,00;4,00;5,00;4,00;2,00;1,00
