Residence_tourisme;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;41,00;33,00;26,00;17,00;36,00;9,00;28,00;31,00;9,00
2019-01-13;41,00;33,00;21,00;18,00;42,00;10,00;32,00;26,00;3,00
2019-01-20;44,00;49,00;19,00;17,00;47,00;9,00;21,00;26,00;3,00
2019-01-27;37,00;23,00;21,00;23,00;42,00;13,00;32,00;23,00;2,00
2019-02-03;41,00;33,00;24,00;19,00;40,00;7,00;25,00;25,00;2,00
2019-02-10;46,00;36,00;16,00;23,00;41,00;14,00;24,00;22,00;2,00
2019-02-17;43,00;19,00;18,00;19,00;49,00;15,00;12,00;21,00;2,00
2019-02-24;43,00;28,00;19,00;20,00;57,00;13,00;18,00;22,00;4,00
2019-03-03;46,00;18,00;19,00;16,00;55,00;8,00;15,00;17,00;3,00
2019-03-10;42,00;14,00;17,00;21,00;54,00;10,00;16,00;21,00;2,00
2019-03-17;43,00;24,00;22,00;18,00;55,00;12,00;19,00;19,00;2,00
2019-03-24;49,00;29,00;20,00;16,00;51,00;12,00;18,00;21,00;3,00
2019-03-31;50,00;32,00;19,00;14,00;51,00;11,00;17,00;23,00;2,00
2019-04-07;50,00;29,00;24,00;18,00;59,00;13,00;16,00;26,00;3,00
2019-04-14;50,00;28,00;17,00;9,00;51,00;9,00;18,00;23,00;3,00
2019-04-21;39,00;23,00;11,00;14,00;45,00;14,00;18,00;19,00;3,00
2019-04-28;43,00;35,00;11,00;15,00;51,00;12,00;26,00;22,00;3,00
2019-05-05;40,00;20,00;21,00;15,00;58,00;11,00;16,00;21,00;3,00
2019-05-12;41,00;17,00;27,00;14,00;58,00;7,00;7,00;17,00;3,00
2019-05-19;38,00;29,00;17,00;17,00;54,00;11,00;19,00;28,00;5,00
2019-05-26;45,00;31,00;17,00;18,00;66,00;10,00;24,00;20,00;6,00
2019-06-02;45,00;32,00;12,00;22,00;63,00;13,00;16,00;23,00;3,00
2019-06-09;47,00;22,00;15,00;19,00;64,00;16,00;17,00;25,00;3,00
2019-06-16;39,00;28,00;20,00;20,00;71,00;15,00;31,00;28,00;3,00
