Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;25,00;46,00;25,00;13,00;5,00;91,67;37,50;54,17;12,50
2019-01-13;29,00;47,00;28,00;13,00;6,00;95,29;41,43;45,57;12,43
2019-01-20;29,00;51,00;26,00;11,00;8,00;95,29;37,29;49,71;12,43
2019-01-27;32,00;41,00;26,00;10,00;7,00;84,00;32,00;44,00;12,00
2019-02-03;33,00;46,00;24,00;10,00;8,00;90,75;33,00;49,50;12,38
2019-02-10;36,00;47,00;37,00;9,00;8,00;92,00;44,00;48,00;12,00
2019-02-17;36,00;53,00;23,00;9,00;7,00;88,00;40,00;48,00;12,00
2019-02-24;43,00;51,00;32,00;8,00;9,00;107,50;38,70;55,90;12,90
2019-03-03;41,00;47,00;32,00;11,00;7,00;106,60;36,90;49,20;12,30
2019-03-10;36,00;46,00;30,00;11,00;7,00;104,00;32,00;48,00;12,00
2019-03-17;36,00;43,00;25,00;9,00;8,00;112,00;32,00;48,00;12,00
2019-03-24;39,00;45,00;26,00;10,00;7,00;121,33;39,00;52,00;13,00
2019-03-31;36,00;49,00;35,00;11,00;7,00;132,00;48,00;52,00;12,00
2019-04-07;36,00;50,00;43,00;12,00;8,00;136,00;44,00;60,00;12,00
2019-04-14;36,00;43,00;37,00;12,00;8,00;140,00;44,00;60,00;8,00
2019-04-21;34,00;47,00;32,00;12,00;7,00;170,00;38,25;55,25;12,75
2019-04-28;34,00;49,00;29,00;11,00;7,00;140,25;55,25;59,50;12,75
2019-05-05;32,00;44,00;35,00;11,00;7,00;132,00;40,00;52,00;12,00
2019-05-12;31,00;42,00;31,00;12,00;8,00;112,38;42,63;54,25;11,63
2019-05-19;35,00;50,00;33,00;12,00;8,00;131,25;52,50;70,00;13,13
2019-05-26;41,00;60,00;41,00;13,00;8,00;135,30;53,30;61,50;12,30
2019-06-02;38,00;60,00;37,00;12,00;10,00;177,33;46,44;63,33;12,67
2019-06-09;39,00;65,00;44,00;14,00;9,00;199,33;43,33;65,00;13,00
2019-06-16;38,00;72,00;38,00;14,00;9,00;206,89;50,67;63,33;16,89
2019-06-23;40,00;68,00;32,00;14,00;10,00;208,00;48,00;64,00;16,00
2019-06-30;39,00;94,00;39,00;12,00;10,00;229,67;47,67;69,33;17,33
2019-07-07;47,00;91,00;35,00;14,00;11,00;222,18;59,82;68,36;17,09
2019-07-14;50,00;96,00;47,00;15,00;10,00;225,00;62,50;66,67;16,67
2019-07-21;53,00;77,00;42,00;15,00;11,00;244,62;61,15;69,31;16,31
2019-07-28;54,00;71,00;42,00;15,00;10,00;253,38;62,31;70,62;16,62
2019-08-04;61,00;80,00;34,00;14,00;12,00;313,13;73,20;73,20;16,27
2019-08-11;62,00;67,00;34,00;15,00;9,00;330,67;66,13;66,13;12,40
2019-08-18;53,00;67,00;37,00;13,00;11,00;228,31;61,15;77,46;12,23
2019-08-25;42,00;55,00;28,00;14,00;8,00;184,80;50,40;67,20;12,60
2019-09-01;33,00;50,00;34,00;13,00;9,00;152,63;45,38;57,75;12,38
