Week-end;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;30,00;13,00;8,00;8,00;15,00;11,00;11,00;1,00;0,50
2019-01-13;30,00;11,00;14,00;9,00;15,00;12,00;12,00;1,00;1,00
2019-01-20;32,00;11,00;12,00;9,00;16,00;10,00;9,00;1,00;1,00
2019-01-27;31,00;11,00;9,00;9,00;20,00;9,00;4,00;1,00;1,00
2019-02-03;32,00;8,00;10,00;9,00;19,00;8,00;2,00;1,00;0,50
2019-02-10;33,00;9,00;12,00;8,00;18,00;8,00;2,00;1,00;1,00
2019-02-17;31,00;8,00;9,00;9,00;16,00;9,00;2,00;1,00;1,00
2019-02-24;31,00;6,00;9,00;8,00;18,00;8,00;2,00;1,00;0,50
2019-03-03;31,00;8,00;7,00;8,00;16,00;7,00;2,00;1,00;0,50
2019-03-10;29,00;8,00;11,00;8,00;17,00;10,00;1,00;1,00;1,00
2019-03-17;33,00;10,00;9,00;9,00;16,00;9,00;2,00;1,00;1,00
2019-03-24;31,00;8,00;11,00;9,00;17,00;9,00;2,00;1,00;1,00
2019-03-31;35,00;11,00;9,00;8,00;18,00;14,00;10,00;1,00;1,00
2019-04-07;39,00;15,00;12,00;8,00;16,00;13,00;10,00;1,00;1,00
2019-04-14;42,00;14,00;12,00;6,00;14,00;10,00;8,00;1,00;1,00
2019-04-21;34,00;11,00;10,00;7,00;14,00;13,00;7,00;1,00;1,00
2019-04-28;32,00;11,00;8,00;7,00;14,00;11,00;11,00;1,00;1,00
2019-05-05;31,00;11,00;8,00;7,00;15,00;14,00;10,00;1,00;1,00
2019-05-12;30,00;13,00;10,00;7,00;18,00;14,00;11,00;1,00;1,00
2019-05-19;32,00;12,00;11,00;8,00;16,00;14,00;9,00;1,00;1,00
2019-05-26;35,00;12,00;12,00;8,00;16,00;12,00;11,00;1,00;1,00
2019-06-02;31,00;14,00;8,00;7,00;19,00;13,00;9,00;1,00;0,50
2019-06-09;28,00;13,00;8,00;7,00;20,00;15,00;8,00;1,00;0,50
2019-06-16;23,00;9,00;7,00;7,00;19,00;16,00;7,00;1,00;1,00
2019-06-23;24,00;10,00;8,00;7,00;18,00;15,00;8,00;1,00;1,00
2019-06-30;26,00;11,00;10,00;8,00;17,00;15,00;8,00;1,00;1,00
2019-07-07;25,00;14,00;8,00;8,00;20,00;17,00;9,00;1,00;1,00
2019-07-14;28,00;11,00;6,00;8,00;20,00;15,00;12,00;1,00;1,00
2019-07-21;27,00;11,00;10,00;7,00;20,00;20,00;8,00;1,00;1,00
2019-07-28;32,00;15,00;9,00;8,00;18,00;14,00;10,00;1,00;1,00
2019-08-04;32,00;16,00;9,00;7,00;18,00;15,00;10,00;2,00;1,00
2019-08-11;28,00;15,00;10,00;9,00;17,00;13,00;10,00;1,00;1,00
2019-08-18;28,00;13,00;7,00;8,00;19,00;16,00;10,00;1,00;1,00
2019-08-25;29,00;13,00;10,00;8,00;17,00;17,00;9,00;1,00;1,00
