Disney;BE;CH;DE;ES;FR;IT;NL;UK;US
2019-01-06;71,00;13,00;17,00;28,00;45,00;14,00;38,00;46,00;1,00
2019-01-13;71,00;15,00;17,00;28,00;47,00;18,00;38,00;39,00;1,00
2019-01-20;53,00;13,00;15,00;26,00;39,00;17,00;32,00;34,00;1,00
2019-01-27;45,00;9,00;12,00;24,00;29,00;12,00;27,00;29,00;1,00
2019-02-03;44,00;12,00;11,00;24,00;31,00;10,00;23,00;31,00;1,00
2019-02-10;47,00;12,00;11,00;30,00;35,00;10,00;26,00;31,00;1,00
2019-02-17;47,00;12,00;11,00;30,00;37,00;10,00;25,00;31,00;1,00
2019-02-24;45,00;14,00;11,00;28,00;33,00;11,00;23,00;27,00;1,00
2019-03-03;60,00;13,00;12,00;30,00;36,00;10,00;34,00;32,00;1,00
2019-03-10;48,00;14,00;13,00;29,00;35,00;15,00;34,00;30,00;1,00
2019-03-17;62,00;9,00;14,00;31,00;47,00;18,00;35,00;61,00;1,00
2019-03-24;56,00;15,00;14,00;33,00;47,00;15,00;33,00;40,00;1,00
2019-03-31;66,00;16,00;14,00;26,00;43,00;14,00;39,00;27,00;1,00
2019-04-07;63,00;21,00;15,00;26,00;50,00;15,00;30,00;31,00;1,00
2019-04-14;52,00;25,00;17,00;27,00;51,00;13,00;34,00;26,00;1,00
2019-04-21;50,00;22,00;16,00;26,00;51,00;16,00;36,00;25,00;1,00
2019-04-28;51,00;16,00;18,00;22,00;47,00;13,00;35,00;25,00;1,00
2019-05-05;47,00;16,00;19,00;25,00;38,00;12,00;27,00;26,00;1,00
2019-05-12;46,00;15,00;18,00;26,00;37,00;12,00;27,00;27,00;1,00
2019-05-19;45,00;15,00;19,00;26,00;38,00;12,00;33,00;29,00;1,00
2019-05-26;51,00;17,00;17,00;25,00;46,00;11,00;31,00;33,00;1,00
2019-06-02;52,00;13,00;15,00;27,00;39,00;11,00;29,00;27,00;1,00
