Ski;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;65,00;61,90;83,57;24,76;12,38;23,00;40,00;36,00;17,00
2019-01-13;65,00;49,52;91,31;18,57;10,83;18,00;36,00;29,00;17,00
2019-01-20;71,00;49,39;86,43;16,98;15,43;21,00;32,00;29,00;15,00
2019-01-27;68,00;49,45;86,55;20,09;17,00;16,00;28,00;24,00;14,00
2019-02-03;75,00;35,20;97,96;21,43;18,37;16,00;26,00;24,00;13,00
2019-02-10;80,00;26,15;104,62;18,46;16,92;17,00;31,00;23,00;14,00
2019-02-17;78,00;30,59;93,29;15,29;13,76;17,00;29,00;22,00;13,00
2019-02-24;57,00;38,51;70,86;13,86;12,32;13,00;21,00;18,00;11,00
2019-03-03;42,00;32,67;56,00;10,89;10,89;12,00;20,00;16,00;9,00
2019-03-10;32,00;24,38;54,86;9,14;9,14;11,00;15,00;12,00;8,00
2019-03-17;26,00;19,88;45,88;7,65;6,12;8,00;10,00;12,00;6,00
2019-03-24;18,00;12,00;30,00;4,50;4,50;5,00;8,00;10,00;5,00
2019-03-31;16,00;19,20;27,20;3,20;4,80;5,00;6,00;9,00;4,00
2019-04-07;14,00;12,44;23,33;3,11;4,67;5,00;7,00;10,00;3,00
2019-04-14;12,00;7,50;24,00;3,00;4,50;5,00;4,00;6,00;3,00
2019-04-21;7,00;7,00;9,80;1,40;2,80;4,00;5,00;6,00;2,00
2019-04-28;6,00;6,00;7,50;1,50;1,50;3,00;6,00;5,00;2,00
2019-05-05;5,00;5,00;8,33;1,67;1,67;2,00;4,00;4,00;2,00
2019-05-12;4,00;6,00;6,00;2,00;2,00;3,00;3,00;4,00;2,00
2019-05-19;4,00;6,00;4,00;2,00;2,00;1,00;4,00;5,00;2,00
2019-05-26;4,00;4,00;8,00;2,00;2,00;2,00;4,00;4,00;2,00
2019-06-02;4,00;8,00;6,00;2,00;2,00;2,00;4,00;5,00;2,00
2019-06-09;5,00;5,00;6,67;1,67;1,67;2,00;5,00;5,00;2,00
2019-06-16;4,00;4,00;4,00;1,33;1,33;3,00;4,00;5,00;2,00
2019-06-23;4,00;2,67;5,33;1,33;1,33;3,00;3,00;5,00;2,00
2019-06-30;5,00;5,00;8,33;1,67;1,67;2,00;4,00;6,00;3,00
2019-07-07;6,00;7,50;6,00;1,50;1,50;2,00;7,00;5,00;2,00
2019-07-14;6,00;6,00;6,00;1,50;1,50;2,00;6,00;6,00;3,00
2019-07-21;9,00;9,00;6,00;1,50;1,50;3,00;8,00;5,00;3,00
2019-07-28;9,00;12,00;9,00;1,50;1,50;4,00;9,00;6,00;3,00
2019-08-04;9,00;12,00;9,00;1,50;1,50;4,00;8,00;6,00;3,00
2019-08-11;12,00;19,50;10,50;3,00;1,50;4,00;12,00;7,00;3,00
2019-08-18;13,00;16,25;11,38;1,63;3,25;5,00;12,00;8,00;3,00
2019-08-25;12,00;12,00;7,50;3,00;3,00;5,00;10,00;8,00;3,00
2019-09-01;13,00;16,25;13,00;3,25;4,88;4,00;14,00;9,00;3,00
2019-09-08;15,00;25,50;10,50;3,00;3,00;5,00;15,00;10,00;3,00
2019-09-15;14,00;21,78;15,56;3,11;3,11;5,00;13,00;10,00;4,00
2019-09-22;16,00;24,00;14,40;3,20;3,20;5,00;14,00;11,00;4,00
2019-09-29;18,00;21,00;12,00;4,50;3,00;5,00;16,00;11,00;4,00
2019-10-06;18,00;24,55;19,64;4,91;3,27;7,00;17,00;13,00;5,00
2019-10-13;18,00;25,50;15,00;4,50;3,00;6,00;15,00;12,00;5,00
2019-10-20;22,00;22,00;15,71;6,29;4,71;6,00;15,00;13,00;5,00
2019-10-27;22,00;29,86;17,29;6,29;4,71;7,00;18,00;13,00;5,00
2019-11-03;29,00;21,37;21,37;6,11;6,11;10,00;20,00;14,00;7,00
2019-11-10;41,00;30,37;36,44;7,59;10,63;16,00;21,00;15,00;7,00
2019-11-17;42,00;29,56;51,33;9,33;10,89;15,00;21,00;15,00;8,00
2019-11-24;38,00;28,88;41,04;6,08;12,16;15,00;19,00;14,00;9,00
2019-12-01;39,00;24,00;49,50;10,50;13,50;17,00;20,00;15,00;11,00
2019-12-08;43,00;26,11;59,89;10,75;12,29;17,00;23,00;16,00;11,00
2019-12-15;49,00;36,75;64,31;12,25;12,25;21,00;26,00;17,00;13,00
2019-12-22;86,00;41,46;129,00;19,96;15,36;36,00;34,00;25,00;18,00
2019-12-29;87,00;50,37;152,63;22,89;19,84;45,00;37,00;30,00;18,00
2020-01-05;63,00;46,10;93,73;16,90;13,83;27,00;37,00;31,00;15,00
2020-01-12;64,00;47,24;79,24;13,71;10,67;23,00;36,00;27,00;14,00
2020-01-19;70,00;50,22;74,57;13,70;15,22;20,00;32,00;25,00;14,00
2020-01-26;64,00;42,15;74,93;14,05;15,61;18,00;28,00;23,00;11,00
2020-02-02;66,00;36,84;85,95;13,81;12,28;20,00;31,00;23,00;11,00
2020-02-09;69,00;33,73;98,13;10,73;10,73;18,00;36,00;22,00;12,00
2020-02-16;69,00;39,87;98,13;10,73;9,20;17,00;34,00;21,00;13,00
2020-02-23;59,00;49,68;80,74;12,42;7,76;16,00;31,00;24,00;9,00
2020-03-01;44,00;39,45;50,07;9,10;6,07;17,00;32,00;18,00;8,00
2020-03-08;66,00;89,57;97,43;14,14;6,29;9,00;48,00;31,00;8,00
2020-03-15;21,00;16,15;14,54;1,62;1,62;2,00;8,00;10,00;6,00
2020-03-22;4,00;4,00;4,00;1,33;1,33;2,00;4,00;3,00;2,00
2020-03-29;4,00;4,00;2,67;0,67;1,33;1,00;2,00;4,00;2,00
2020-04-05;3,00;3,00;6,00;1,50;1,50;2,00;2,00;4,00;2,00
2020-04-12;3,00;4,50;4,50;0,75;1,50;1,00;2,00;4,00;2,00
2020-04-19;3,00;1,50;3,00;0,75;1,50;1,00;3,00;3,00;2,00
2020-04-26;4,00;4,00;4,00;1,00;2,00;2,00;1,00;3,00;2,00
2020-05-03;3,00;3,00;6,00;0,75;1,50;1,00;2,00;4,00;2,00
2020-05-10;3,00;1,50;4,50;1,50;1,50;1,00;2,00;3,00;2,00
2020-05-17;4,00;1,33;4,00;0,67;1,33;1,00;2,00;3,00;2,00
2020-05-24;3,00;3,00;4,50;0,75;0,75;2,00;3,00;3,00;2,00
2020-05-31;4,00;4,00;8,00;2,00;1,00;2,00;3,00;4,00;2,00
2020-06-07;5,00;3,33;6,67;1,67;0,83;3,00;4,00;4,00;2,00
2020-06-14;4,00;4,00;2,67;1,33;1,33;3,00;4,00;4,00;2,00
2020-06-21;5,00;5,00;3,33;1,67;1,67;2,00;3,00;4,00;2,00
2020-06-28;4,00;4,00;4,00;1,33;1,33;3,00;4,00;4,00;2,00
2020-07-05;7,00;5,25;7,00;1,75;0,88;2,00;4,00;4,00;2,00
2020-07-12;6,00;4,50;6,00;1,50;1,50;3,00;3,00;4,00;2,00
2020-07-19;7,00;7,00;8,75;1,75;1,75;3,00;3,00;5,00;3,00
2020-07-26;8,00;4,80;8,00;1,60;1,60;3,00;5,00;4,00;3,00
2020-08-02;9,00;4,50;9,00;1,50;1,50;4,00;4,00;4,00;3,00
2020-08-09;10,00;6,67;8,33;1,67;1,67;4,00;4,00;4,00;3,00
2020-08-16;11,00;9,43;9,43;1,57;1,57;4,00;5,00;5,00;3,00
2020-08-23;11,00;11,00;7,86;1,57;1,57;5,00;8,00;5,00;3,00
2020-08-30;12,00;12,00;12,00;1,50;1,50;4,00;8,00;5,00;3,00
2020-09-06;11,00;9,43;9,43;1,57;1,57;4,00;7,00;5,00;4,00
2020-09-13;11,00;7,86;9,43;1,57;1,57;4,00;6,00;5,00;4,00
2020-09-20;14,00;12,44;12,44;3,11;1,56;5,00;8,00;5,00;4,00
2020-09-27;16,00;11,20;14,40;3,20;1,60;4,00;8,00;5,00;4,00
2020-10-04;16,00;11,64;16,00;2,91;2,91;5,00;9,00;5,00;4,00
2020-10-11;17,00;10,82;20,09;3,09;3,09;4,00;6,00;5,00;5,00
2020-10-18;17,00;6,18;15,45;3,09;1,55;4,00;6,00;5,00;5,00
2020-10-25;11,00;6,29;18,86;3,14;3,14;5,00;5,00;5,00;5,00
2020-11-01;9,00;7,50;18,00;1,50;3,00;2,00;4,00;4,00;5,00
2020-11-08;12,00;9,00;21,00;3,00;3,00;3,00;5,00;5,00;7,00
2020-11-15;15,00;11,67;21,67;1,67;3,33;4,00;6,00;7,00;7,00
2020-11-22;43,00;24,57;46,07;4,61;4,61;6,00;11,00;9,00;8,00
2020-11-29;30,00;25,26;60,00;6,32;6,32;8,00;11,00;9,00;9,00
2020-12-06;30,00;18,95;63,16;3,16;9,47;9,00;12,00;8,00;10,00
2020-12-13;28,00;17,11;71,56;3,11;7,78;6,00;9,00;7,00;13,00
2020-12-20;34,00;13,91;103,55;4,64;9,27;8,00;12,00;7,00;16,00
2020-12-27;62,00;23,25;144,15;7,75;10,85;13,00;15,00;10,00;19,00
2021-01-03;79,00;30,98;103,78;6,20;12,39;12,00;14,00;9,00;14,00
2021-01-10;43,00;27,64;90,61;4,61;9,21;11,00;11,00;8,00;14,00
2021-01-17;62,00;21,70;85,25;4,65;4,65;6,00;10,00;9,00;14,00
2021-01-24;24,00;7,50;76,50;3,00;3,00;8,00;6,00;7,00;13,00
2021-01-31;33,00;7,86;70,71;3,14;4,71;14,00;8,00;7,00;14,00
2021-02-07;44,00;12,14;97,10;4,55;3,03;22,00;13,00;6,00;13,00
2021-02-14;48,00;12,39;106,84;4,65;3,10;19,00;11,00;8,00;14,00
2021-02-21;30,00;7,50;78,00;3,00;3,00;6,00;5,00;6,00;11,00
2021-02-28;20,00;9,23;41,54;3,08;4,62;3,00;6,00;5,00;8,00
2021-03-07;14,00;7,78;35,78;3,11;4,67;2,00;7,00;5,00;7,00
2021-03-14;12,00;4,50;46,50;3,00;3,00;2,00;5,00;5,00;6,00
2021-03-21;9,00;6,00;43,50;1,50;3,00;2,00;4,00;4,00;6,00
2021-03-28;5,00;3,33;33,33;1,67;3,33;2,00;3,00;3,00;4,00
2021-04-04;3,00;4,50;36,00;1,50;1,50;2,00;4,00;4,00;4,00
2021-04-11;3,00;4,50;21,00;1,50;1,50;2,00;3,00;3,00;3,00
2021-04-18;3,00;3,00;9,00;1,50;1,50;2,00;2,00;2,00;3,00
2021-04-25;3,00;1,50;4,50;0,75;1,50;2,00;4,00;3,00;3,00
2021-05-02;4,00;1,33;6,67;0,67;1,33;2,00;4,00;2,00;3,00
2021-05-09;4,00;2,67;2,67;1,33;1,33;1,00;3,00;3,00;3,00
2021-05-16;4,00;2,67;4,00;1,33;1,33;3,00;3,00;2,00;3,00
